id,employee_id,employee_name,designation,salary,retirement,other_benefits,total_benefits,total_compensation
1,8148,Gary Garcia,IS Trainer-Assistant,63532.93,12495.83,4702.71,30116.78,93649.71
2,26574,Sarah Gonzalez,IS Administrator 3,57678.5,10284.88,4755.14,22216.82,79895.32
3,27436,Lawrence Hayes,IS Business Analyst-Principal,101274.51,19644.45,7458.76,40021.45,134237.37
4,37730,Charles Barry,IS Administrator 1,57534.65,11253.16,4532.63,27747.13,85281.78
5,37730,Charles Barry,IS Administrator 1,57534.65,11253.16,4532.63,27747.13,85281.78
6,26574,Sarah Gonzalez,IS Administrator 3,57678.5,10284.88,4755.14,22216.82,79895.32
7,8148,Gary Garcia,IS Trainer-Assistant,63532.93,12495.83,4702.71,30116.78,93649.71
8,27436,Lawrence Hayes,IS Business Analyst-Principal,101274.51,19644.45,7458.76,40021.45,134237.37
9,37730,Amy Hanson,IS Programmer Analyst,5084.0,1083.9,387.5,2428.31,7512.31
10,36223,Benjamin Lane,IS Prg Analyst-Principal,34456.0,7346.0,2579.95,13753.58,48209.58
11,51426,Nicole Grimes,IS Project Director,139889.0,26799.23,9791.54,49509.01,189398.01
12,26574,Andrew Reed,IT Operations Support Admin IV,46572.0,9929.16,3822.28,19492.88,66064.88
13,37983,Tiffany Armstrong,Training Officer,84681.53,16661.84,6838.44,36418.52,121100.05
14,16858,Nicholas Cook,Accountant III,10611.01,1879.2,827.09,4141.65,14752.66
15,32693,Mr. David Pena,Accountant III,43171.5,9061.62,3502.18,19262.15,62433.65
16,43501,Michael Anderson,Accountant III,3155.01,574.53,218.78,793.31,3948.32
17,16858,Rebecca Thomas,Accountant IV,10611.0,1879.2,804.35,4118.91,14729.91
18,21653,Diana Alvarado,Senior Administrative Analyst,38491.83,8161.75,3094.21,17284.47,55776.3
19,34205,Marissa Ritter,Senior Administrative Analyst,54645.5,10473.72,4389.44,23475.32,78120.82
20,35965,Dana Woods,Senior Administrative Analyst,91826.22,18072.56,7811.62,38802.42,130628.64
21,39039,Todd Holmes,Senior Administrative Analyst,77486.52,14861.12,6402.01,31310.65,108797.17
22,45754,Nancy Lewis,Senior Administrative Analyst,40380.11,7872.99,3227.2,16363.18,56743.29
23,46770,Gary Garcia,Senior Administrative Analyst,88016.5,17332.0,6760.28,37010.52,125027.02
24,48264,Lawrence Hayes,Senior Administrative Analyst,91540.61,18011.68,7268.43,38198.35,129738.96
25,33068,Amy Hanson,Pr Administrative Analyst,101787.06,20042.02,7988.47,40948.73,142735.79
26,45754,Benjamin Lane,Pr Administrative Analyst,3503.0,637.9,299.49,1415.84,4918.84
27,5021,Nicole Grimes,Pr Administrative Analyst,104022.86,20458.35,7878.74,41255.33,145278.19
28,20957,Andrew Reed,Senior Personnel Analyst,104250.5,20214.04,8498.47,41630.75,145881.25
29,17388,Tiffany Armstrong,Principal Personnel Analyst,133022.51,25483.48,9759.01,48160.73,181183.24
30,19930,Nicholas Cook,Executive Secretary 3,67071.6,12973.88,5439.34,29157.49,98306.15
31,1815,Mr. David Pena,Manager II,145343.93,27869.24,12335.56,53123.04,198466.97
32,3034,Michael Anderson,Manager II,123825.66,23728.23,9480.88,46127.35,169953.01
33,43208,Rebecca Thomas,Manager IV,155934.26,29873.14,18500.13,48373.27,204307.53
34,14308,Diana Alvarado,"Div Director, Adult Probation",122302.25,21538.39,10318.94,44775.57,167077.82
35,15189,Marissa Ritter,"Div Director, Adult Probation",122302.27,21538.37,10890.91,45347.52,167649.79
36,17353,Dana Woods,"Div Director, Adult Probation",122302.26,21538.37,10493.35,44949.96,167252.22
37,30068,Todd Holmes,"Div Director, Adult Probation",122302.24,21538.36,10811.11,45267.71,167569.95
38,43952,Nancy Lewis,Chief Adult Probation Officer,209697.02,36944.94,12228.03,62091.21,271788.23
39,5635,Christopher Tyler,Chief Deputy Adlt Probation Of,69257.89,0.0,5361.94,12015.43,81273.32
40,41629,Brittany Taylor,Chief Dep Adlt Prob Of (SFERS),162953.5,31217.66,2608.57,46744.47,209697.97
41,10922,Danielle Johnson,Deputy Probation Officer,93300.65,16454.93,1585.09,30577.35,123878
42,10988,Russell Meyers DDS,Deputy Probation Officer,66139.71,11647.69,1099.15,25665.08,91804.79
43,11294,Eric Howard,Deputy Probation Officer,96595.64,17020.61,1600.19,31539.05,128134.69
44,12948,Laura Wright,Deputy Probation Officer,76487.01,13469.78,1300.28,27688.31,104175.32
45,12968,Leonard Pierce,Deputy Probation Officer,92562.17,16322.99,1467.33,30228.2,122790.37
46,1307,Luis Barber,Deputy Probation Officer,96152.53,16940.51,1633.57,31492.32,127644.85
47,13679,Melanie Donovan,Deputy Probation Officer,5985.32,0.0,463.38,1263.29,7248.61
48,14004,Mr. Jacob Harris,Deputy Probation Officer,96152.51,16940.51,1631.07,31489.82,127642.33
49,14500,Bryan Torres,Deputy Probation Officer,80200.02,14056.28,1461.11,26282.59,113200.41
50,14573,Leslie Allen,Deputy Probation Officer,96152.52,16940.51,1633.57,31492.32,127644.84
51,15267,Cynthia Sanders,Deputy Probation Officer,76266.22,13432.05,1246.26,27596.55,103862.77
52,1556,Bradley Ray,Deputy Probation Officer,96329.75,16972.55,1584.15,31474.94,127804.69
53,15592,Dean Howard,Deputy Probation Officer,96061.33,16926.67,1632.02,31464.98,127526.31
54,1563,Mark Frye,Deputy Probation Officer,90576.6,15953.4,1538.78,30410.42,120987.02
55,15876,Thomas Perez,Deputy Probation Officer,82212.71,14480.22,1396.59,28795.05,111007.76
56,17248,Stacey Welch,Deputy Probation Officer,86962.1,15278.85,1424.91,28381.62,115343.72
57,1754,Jason Ferguson,Deputy Probation Officer,66139.71,11647.69,1100.86,25666.79,91806.5
58,18905,Amanda Fitzpatrick,Deputy Probation Officer,66139.73,11647.71,1048.44,25614.46,91754.19
59,19512,Beverly Turner,Deputy Probation Officer,52834.5,9538.33,1125.12,17792.4,86318.04
60,20603,Dominique Matthews,Deputy Probation Officer,96152.54,16940.51,1616.45,31475.21,127627.75
61,21729,Kyle Price,Deputy Probation Officer,96152.51,16940.51,1633.57,31492.32,127644.83
62,21991,Andrew Robbins,Deputy Probation Officer,76487.0,13469.77,1280.79,27668.8,104155.8
63,22421,Ashley Delacruz,Deputy Probation Officer,71064.6,12516.89,1182.92,26618.06,97682.66
64,23072,Zachary Schultz,Deputy Probation Officer,96152.5,16940.51,1633.57,31492.32,127644.82
65,23404,Michael Anderson,Deputy Probation Officer,71064.61,12516.89,1207.08,26642.21,97706.82
66,25784,Valerie English,Deputy Probation Officer,96152.53,16940.51,232.52,30091.28,126243.81
67,25825,Erin Carroll,Deputy Probation Officer,96152.51,16940.51,1633.57,31492.32,127644.83
68,29835,Paul Collins,Deputy Probation Officer,96242.01,16973.38,237.99,30129.61,126471.62
69,32375,Michael Jackson,Deputy Probation Officer,96152.5,16940.51,1633.57,31492.32,127644.82
70,32918,Darrell Cobb,Deputy Probation Officer,72020.52,12687.75,1199.86,26805.85,98826.37
71,33094,Mr. William Benitez,Deputy Probation Officer,51760.51,9354.81,938.27,17278.5,73138.56
72,33614,Connie Hamilton,Deputy Probation Officer,71543.51,12655.55,1221.34,13876.89,85720.4
73,33629,Daniel Lowery,Deputy Probation Officer,71986.9,12604.43,1222.49,23488.03,95474.93
74,36193,Anthony Brooks,Deputy Probation Officer,96526.65,17006.2,1692.9,31617.34,128143.99
75,38724,Jason Mcgee,Deputy Probation Officer,96152.51,16940.51,1633.57,31492.32,127644.83
76,39810,Sheila Peters,Deputy Probation Officer,96242.0,16955.79,1635.09,31509.12,127751.12
77,4017,Christopher Johnson,Deputy Probation Officer,84172.82,14825.02,1427.88,29171.15,113343.97
78,40308,Bridget Sanchez,Deputy Probation Officer,96242.0,16955.8,1622.3,31496.34,127738.34
79,40383,Trevor Stewart,Deputy Probation Officer,96152.53,16940.51,1525.31,31384.07,127536.6
80,42999,Deanna Carter,Deputy Probation Officer,96152.5,16940.51,240.01,30098.76,126251.26
81,43132,Debra Olson,Deputy Probation Officer,96241.16,16956.53,1526.82,31401.59,127642.75
82,43337,Allen Schroeder,Deputy Probation Officer,96152.5,16940.51,1633.57,31492.32,127644.82
83,43625,James Sullivan,Deputy Probation Officer,95509.16,16829.13,1622.63,31283.82,126792.98
84,43878,Debra Moore,Deputy Probation Officer,86221.21,15186.48,1135.05,29239.77,115460.98
85,4398,Arthur Ramos,Deputy Probation Officer,96152.5,16940.51,1632.09,31490.84,127643.34
